,,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,CS,FTS
1.0,Liverpool,13,10,1,2,30,14,+16,31,8 Mar Liverpool - Inter Milan 0-1 5 Apr Benfica - Liverpool 1-3 13 Apr Liverpool - Benfica 3-3 27 Apr Liverpool - Villarreal 2-0 3 May Villarreal - Liverpool 2-3 28 May Liverpool - Real Madrid 0-1,2.38,31%,15%
2.0,Real Madrid,13,9,0,4,29,14,+15,27,9 Mar Real Madrid - Paris SG 3-1 6 Apr Chelsea - Real Madrid 1-3 12 Apr Real Madrid - Chelsea 2-3 26 Apr Manchester City - Real Madrid 4-3 4 May Real Madrid - Manchester City 3-1 28 May Liverpool - Real Madrid 0-1,2.08,38%,8%
3.0,Bayern Munich,10,7,2,1,31,7,+24,23,23 Nov Dynamo Kiev - Bayern Munich 1-2 8 Dec Bayern Munich - FC Barcelona 3-0 16 Feb Salzburg - Bayern Munich 1-1 8 Mar Bayern Munich - Salzburg 7-1 6 Apr Villarreal - Bayern Munich 1-0 12 Apr Bayern Munich - Villarreal 1-1,2.30,40%,10%
4.0,Manchester City,12,7,2,3,29,16,+13,23,15 Feb Sporting CP - Manchester City 0-5 9 Mar Manchester City - Sporting CP 0-0 5 Apr Manchester City - Atletico Madrid 1-0 13 Apr Atletico Madrid - Manchester City 0-0 26 Apr Manchester City - Real Madrid 4-3 4 May Real Madrid - Manchester City 3-1,1.92,33%,25%
5.0,Chelsea,10,7,1,2,21,10,+11,22,23 Nov Chelsea - Juventus 4-0 8 Dec Zenit - Chelsea 3-3 22 Feb Chelsea - Lille 2-0 16 Mar Lille - Chelsea 1-2 6 Apr Chelsea - Real Madrid 1-3 12 Apr Real Madrid - Chelsea 2-3,2.20,50%,10%
6.0,Ajax Amsterdam,8,6,1,1,22,8,+14,19,19 Oct Ajax Amsterdam - Dortmund 4-0 3 Nov Dortmund - Ajax Amsterdam 1-3 24 Nov Besiktas - Ajax Amsterdam 1-2 7 Dec Ajax Amsterdam - Sporting CP 4-2 23 Feb Benfica - Ajax Amsterdam 2-2 15 Mar Ajax Amsterdam - Benfica 0-1,2.38,25%,12%
7.0,Villarreal,12,5,3,4,20,16,+4,18,22 Feb Villarreal - Juventus 1-1 16 Mar Juventus - Villarreal 0-3 6 Apr Villarreal - Bayern Munich 1-0 12 Apr Bayern Munich - Villarreal 1-1 27 Apr Liverpool - Villarreal 2-0 3 May Villarreal - Liverpool 2-3,1.50,25%,17%
8.0,Juventus,8,5,1,2,11,10,+1,16,20 Oct Zenit - Juventus 0-1 2 Nov Juventus - Zenit 4-2 23 Nov Chelsea - Juventus 4-0 8 Dec Juventus - Malmo FF 1-0 22 Feb Villarreal - Juventus 1-1 16 Mar Juventus - Villarreal 0-3,2.00,50%,25%
9.0,Paris SG,8,4,2,2,15,11,+4,14,19 Oct Paris SG - RB Leipzig 3-2 3 Nov RB Leipzig - Paris SG 2-2 24 Nov Manchester City - Paris SG 2-1 7 Dec Paris SG - Club Brugge 4-1 15 Feb Paris SG - Real Madrid 1-0 9 Mar Real Madrid - Paris SG 3-1,1.75,25%,0%
10.0,Inter Milan,8,4,1,3,9,7,+2,13,19 Oct Inter Milan - S. Tiraspol 3-1 3 Nov S. Tiraspol - Inter Milan 1-3 24 Nov Inter Milan - Shakhtar 2-0 7 Dec Real Madrid - Inter Milan 2-0 16 Feb Inter Milan - Liverpool 0-2 8 Mar Liverpool - Inter Milan 0-1,1.63,38%,50%
11.0,Benfica,10,3,4,3,14,17,-3,13,23 Nov FC Barcelona - Benfica 0-0 8 Dec Benfica - Dynamo Kiev 2-0 23 Feb Benfica - Ajax Amsterdam 2-2 15 Mar Ajax Amsterdam - Benfica 0-1 5 Apr Benfica - Liverpool 1-3 13 Apr Liverpool - Benfica 3-3,1.30,50%,30%
12.0,Manchester Utd,8,3,3,2,12,10,+2,12,20 Oct Manchester Utd - Atalanta 3-2 2 Nov Atalanta - Manchester Utd 2-2 23 Nov Villarreal - Manchester Utd 0-2 8 Dec Manchester Utd - BSC Young Boys 1-1 23 Feb Atletico Madrid - Manchester Utd 1-1 15 Mar Manchester Utd - Atletico Madrid 0-1,1.50,12%,12%
13.0,Atletico Madrid,10,3,3,4,9,10,-1,12,24 Nov Atletico Madrid - AC Milan 0-1 7 Dec FC Porto - Atletico Madrid 1-3 23 Feb Atletico Madrid - Manchester Utd 1-1 15 Mar Manchester Utd - Atletico Madrid 0-1 5 Apr Manchester City - Atletico Madrid 1-0 13 Apr Atletico Madrid - Manchester City 0-0,1.20,30%,50%
