Team,GP,W,D,L,GF,GA,GD,PPG,CS,FTS
Liverpool,13,10,1,2,30,14,16,2.38,0.31,0.15
Real Madrid,13,9,0,4,29,14,15,2.08,0.38,0.08
Bayern Munich,10,7,2,1,31,7,24,2.3,0.4,0.1
Manchester City,12,7,2,3,29,16,13,1.92,0.33,0.25
Chelsea,10,7,1,2,21,10,11,2.2,0.5,0.1
Ajax Amsterdam,8,6,1,1,22,8,14,2.38,0.25,0.12
Villarreal,12,5,3,4,20,16,4,1.5,0.25,0.17
Juventus,8,5,1,2,11,10,1,2.0,0.5,0.25
Paris SG,8,4,2,2,15,11,4,1.75,0.25,0.0
Inter Milan,8,4,1,3,9,7,2,1.63,0.38,0.5
Benfica,10,3,4,3,14,17,-3,1.3,0.5,0.3
Manchester Utd,8,3,3,2,12,10,2,1.5,0.12,0.12
Atletico Madrid,10,3,3,4,9,10,-1,1.2,0.3,0.5
Lille,8,3,2,3,8,8,0,1.38,0.38,0.38
Salzburg,8,3,2,3,10,14,-4,1.38,0.12,0.12
Sporting CP,8,3,1,4,14,17,-3,1.25,0.25,0.38
Dortmund,6,3,0,3,10,11,-1,1.5,0.33,0.17
RB Leipzig,6,2,1,3,15,14,1,1.17,0.17,0.0
S. Tiraspol,6,2,1,3,7,11,-4,1.17,0.17,0.17
FC Barcelona,6,2,1,3,2,9,-7,1.17,0.5,0.67
FC Sevilla,6,1,3,2,5,5,0,1.0,0.33,0.33
Atalanta,6,1,3,2,12,13,-1,1.0,0.17,0.0
Zenit,6,1,2,3,10,10,0,0.83,0.17,0.33
BSC Young Boys,6,1,2,3,7,12,-5,0.83,0.0,0.33
Wolfsburg,6,1,2,3,5,10,-5,0.83,0.17,0.33
FC Porto,6,1,2,3,4,11,-7,0.83,0.33,0.33
AC Milan,6,1,1,4,6,9,-3,0.67,0.17,0.17
Club Brugge,6,1,1,4,6,20,-14,0.67,0.0,0.17
Shakhtar,6,0,2,4,2,12,-10,0.33,0.17,0.67
Dynamo Kiev,6,0,1,5,1,11,-10,0.17,0.17,0.83
Malmo FF,6,0,1,5,1,14,-13,0.17,0.0,0.83
Besiktas,6,0,0,6,3,19,-16,0.0,0.0,0.5
