team1,score,team2
Sevilla FC,0 - 4,Manchester City
Manchester City,2 - 1,Dortmund
Manchester City,5 - 0,FC Kobenhavn
FC Kobenhavn,0 - 0,Manchester City
Dortmund,0 - 0,Manchester City
Manchester City,3 - 1,Sevilla FC
RB Leipzig,1 - 1,Manchester City
Manchester City,7 - 0,RB Leipzig
Manchester City,3 - 0,Bayern Munich
Bayern Munich,1 - 1,Manchester City
Real Madrid,1 - 1,Manchester City
Manchester City,4 - 0,Real Madrid
Manchester City,1 - 0,Inter Milan Featured
Celtic,0 - 3,Real Madrid
Real Madrid,2 - 0,RB Leipzig
Real Madrid,2 - 1,Shakhtar
Shakhtar,1 - 1,Real Madrid
RB Leipzig,3 - 2,Real Madrid
Real Madrid,5 - 1,Celtic
Liverpool,2 - 5,Real Madrid
Real Madrid,1 - 0,Liverpool
Real Madrid,2 - 0,Chelsea
Chelsea,0 - 2,Real Madrid
Real Madrid,1 - 1,Manchester City
Manchester City,4 - 0,Real Madrid
Inter Milan,0 - 2,Bayern Munich
Bayern Munich,2 - 0,FC Barcelona
Bayern Munich,5 - 0,Viktoria Plzen
Viktoria Plzen,2 - 4,Bayern Munich
FC Barcelona,0 - 3,Bayern Munich
Bayern Munich,2 - 0,Inter Milan
Paris SG,0 - 1,Bayern Munich
Bayern Munich,2 - 0,Paris SG
Manchester City,3 - 0,Bayern Munich
Bayern Munich,1 - 1,Manchester City
Inter Milan,0 - 2,Bayern Munich
Viktoria Plzen,0 - 2,Inter Milan
Inter Milan,1 - 0,FC Barcelona
FC Barcelona,3 - 3,Inter Milan
Inter Milan,4 - 0,Viktoria Plzen
Bayern Munich,2 - 0,Inter Milan
Inter Milan,1 - 0,FC Porto
FC Porto,0 - 0,Inter Milan
Benfica,0 - 2,Inter Milan
Inter Milan,3 - 3,Benfica
AC Milan,0 - 2,Inter Milan
Inter Milan,1 - 0,AC Milan
Manchester City,1 - 0,Inter Milan Featured
Napoli,4 - 1,Liverpool
Rangers,0 - 3,Napoli
Ajax Amsterdam,1 - 6,Napoli
Napoli,4 - 2,Ajax Amsterdam
Napoli,3 - 0,Rangers
Liverpool,2 - 0,Napoli
E. Frankfurt,0 - 2,Napoli
Napoli,3 - 0,E. Frankfurt
AC Milan,1 - 0,Napoli
Napoli,1 - 1,AC Milan
Benfica,2 - 0,Maccabi Haifa
Juventus,1 - 2,Benfica
Benfica,1 - 1,Paris SG
Paris SG,1 - 1,Benfica
Benfica,4 - 3,Juventus
Maccabi Haifa,1 - 6,Benfica
Club Brugge,0 - 2,Benfica
Benfica,5 - 1,Club Brugge
Benfica,0 - 2,Inter Milan
Inter Milan,3 - 3,Benfica
Salzburg,1 - 1,AC Milan
AC Milan,3 - 1,Dinamo Zagreb
Chelsea,3 - 0,AC Milan
AC Milan,0 - 2,Chelsea
Dinamo Zagreb,0 - 4,AC Milan
AC Milan,4 - 0,Salzburg
AC Milan,1 - 0,Tottenham
Tottenham,0 - 0,AC Milan
AC Milan,1 - 0,Napoli
Napoli,1 - 1,AC Milan
AC Milan,0 - 2,Inter Milan
Inter Milan,1 - 0,AC Milan
Dinamo Zagreb,1 - 0,Chelsea
Chelsea,1 - 1,Salzburg
Chelsea,3 - 0,AC Milan
AC Milan,0 - 2,Chelsea
Salzburg,1 - 2,Chelsea
Chelsea,2 - 1,Dinamo Zagreb
Dortmund,1 - 0,Chelsea
Chelsea,2 - 0,Dortmund
Real Madrid,2 - 0,Chelsea
Chelsea,0 - 2,Real Madrid
Napoli,4 - 1,Liverpool
Liverpool,2 - 1,Ajax Amsterdam
Liverpool,2 - 0,Rangers
Rangers,1 - 7,Liverpool
Ajax Amsterdam,0 - 3,Liverpool
Liverpool,2 - 0,Napoli
Liverpool,2 - 5,Real Madrid
Real Madrid,1 - 0,Liverpool
Paris SG,2 - 1,Juventus
Maccabi Haifa,1 - 3,Paris SG
Benfica,1 - 1,Paris SG
Paris SG,1 - 1,Benfica
Paris SG,7 - 2,Maccabi Haifa
Juventus,1 - 2,Paris SG
Paris SG,0 - 1,Bayern Munich
Bayern Munich,2 - 0,Paris SG
Atletico Madrid,2 - 1,FC Porto
FC Porto,0 - 4,Club Brugge
FC Porto,2 - 0,Leverkusen
Leverkusen,0 - 3,FC Porto
Club Brugge,0 - 4,FC Porto
FC Porto,2 - 1,Atletico Madrid
Inter Milan,1 - 0,FC Porto
FC Porto,0 - 0,Inter Milan
RB Leipzig,1 - 4,Shakhtar
Real Madrid,2 - 0,RB Leipzig
RB Leipzig,3 - 1,Celtic
Celtic,0 - 2,RB Leipzig
RB Leipzig,3 - 2,Real Madrid
Shakhtar,0 - 4,RB Leipzig
RB Leipzig,1 - 1,Manchester City
Manchester City,7 - 0,RB Leipzig
Dortmund,3 - 0,FC Kobenhavn
Manchester City,2 - 1,Dortmund
Sevilla FC,1 - 4,Dortmund
Dortmund,1 - 1,Sevilla FC
Dortmund,0 - 0,Manchester City
FC Kobenhavn,1 - 1,Dortmund
Dortmund,1 - 0,Chelsea
Chelsea,2 - 0,Dortmund
Tottenham,2 - 0,Marseille
Sporting CP,2 - 0,Tottenham
E. Frankfurt,0 - 0,Tottenham
Tottenham,3 - 2,E. Frankfurt
Tottenham,1 - 1,Sporting CP
Marseille,1 - 2,Tottenham
AC Milan,1 - 0,Tottenham
Tottenham,0 - 0,AC Milan
Club Brugge,1 - 0,Leverkusen
FC Porto,0 - 4,Club Brugge
Club Brugge,2 - 0,Atletico Madrid
Atletico Madrid,0 - 0,Club Brugge
Club Brugge,0 - 4,FC Porto
Leverkusen,0 - 0,Club Brugge
Club Brugge,0 - 2,Benfica
